Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height_(m),Weight_(kg),Ability_I,Ability_II,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_II,Gender_(%_Male),Evolve
Scyther,123,scyther.png,123.png,70,110,80,55,80,105,500,Bug,Flying,Mantis Pokémon,1.5,56,swarm,technician,steadfast,1 Atk,bug,null,50,Trade/Item
Jynx,124,jynx.png,124.png,65,50,35,115,95,95,455,Ice,Psychic,Human Shape Pokémon,1.4,40.6,oblivious,forewarn,dry-skin,2 SpA,humanshape,null,0,xx
Electabuzz,125,electabuzz.png,125.png,65,83,57,95,85,105,490,Electric,xx,Electric Pokémon,1.1,30,static,null,vital-spirit,2 Spe,humanshape,null,75,Trade
Magmar,126,magmar.png,126.png,65,95,57,100,85,93,495,Fire,xx,Spitfire Pokémon,1.3,44.5,flame-body,null,vital-spirit,2 SpA,humanshape,null,75,Trade
Pinsir,127,pinsir.png,127.png,65,125,100,55,70,85,500,Bug,xx,Stag Beetle Pokémon,1.5,55,hyper-cutter,mold-breaker,moxie,2 Atk,bug,null,50,xx
Tauros,128,tauros.png,128.png,75,100,95,40,70,110,490,Normal,xx,Wild Bull Pokémon,1.4,88.4,intimidate,anger-point,sheer-force,1 Atk/1 Spe,ground,null,100,xx
Magikarp,129,magikarp.png,129.png,20,10,55,15,20,80,200,Water,xx,Fish Pokémon,0.9,10,swift-swim,null,rattled,1 Spe,water2,dragon,50,20
Gyarados,130,gyarados.png,130.png,95,125,79,60,100,81,540,Water,Flying,Atrocious Pokémon,6.5,235,intimidate,null,moxie,2 Atk,water2,dragon,50,xx
Lapras,131,lapras.png,131.png,130,85,80,85,95,60,535,Water,Ice,Transport Pokémon,2.5,220,water-absorb,shell-armor,hydration,2 HP,water1,monster,50,xx
Ditto,132,ditto.png,132.png,48,48,48,48,48,48,288,Normal,xx,Transform Pokémon,0.3,4,limber,null,imposter,1 HP,ditto,null,xx,xx
Eevee,133,eevee.png,133.png,55,55,50,45,65,55,325,Normal,xx,Evolution Pokémon,0.3,6.5,run-away,adaptability,anticipation,1 SpD,ground,null,87.5,Eevee
Vaporeon,134,vaporeon.png,134.png,130,65,60,110,95,65,525,Water,xx,Bubble Jet Pokémon,1,29,water-absorb,null,hydration,2 HP,ground,null,87.5,xx
Jolteon,135,jolteon.png,135.png,65,65,60,110,95,130,525,Electric,xx,Lightning Pokémon,0.8,24.5,volt-absorb,null,quick-feet,2 Spe,ground,null,87.5,xx
Flareon,136,flareon.png,136.png,65,130,60,95,110,65,525,Fire,xx,Flame Pokémon,0.9,25,flash-fire,null,guts,2 Atk,ground,null,87.5,xx
Porygon,137,porygon.png,137.png,65,60,70,85,75,40,395,Normal,xx,Virtual Pokémon,0.8,36.5,trace,download,analytic,1 SpA,mineral,null,xx,Trade
Omanyte,138,omanyte.png,138.png,35,40,100,90,55,35,355,Rock,Water,Spiral Pokémon,0.4,7.5,swift-swim,shell-armor,weak-armor,1 Def,water1,water3,87.5,40
Omastar,139,omastar.png,139.png,70,60,125,115,70,55,495,Rock,Water,Spiral Pokémon,1,35,swift-swim,shell-armor,weak-armor,2 Def,water1,water3,87.5,xx
Kabuto,140,kabuto.png,140.png,30,80,90,55,45,55,355,Rock,Water,Shellfish Pokémon,0.5,11.5,swift-swim,battle-armor,weak-armor,1 Def,water1,water3,87.5,40
Kabutops,141,kabutops.png,141.png,60,115,105,65,70,80,495,Rock,Water,Shellfish Pokémon,1.3,40.5,swift-swim,battle-armor,weak-armor,2 Atk,water1,water3,87.5,xx
Aerodactyl,142,aerodactyl.png,142.png,80,105,65,60,75,130,515,Rock,Flying,Fossil Pokémon,1.8,59,rock-head,pressure,unnerve,2 Spe,flying,null,87.5,xx
Snorlax,143,snorlax.png,143.png,160,110,65,65,110,30,540,Normal,xx,Sleeping Pokémon,2.1,460,immunity,thick-fat,gluttony,2 HP,monster,null,87.5,xx
Articuno,144,articuno.png,144.png,90,85,100,95,125,85,580,Ice,Flying,Freeze Pokémon,1.7,55.4,pressure,null,snow-cloak,3 SpD,no-eggs,null,xx,xx
Articuno-galar,144,articuno-galar.png,144.png,90,85,85,125,100,95,580,Psychic,Flying,Freeze Pokémon,1.7,50.9,pressure,null,snow-cloak,2 SpA,no-eggs,null,xx,xx
Zapdos,145,zapdos.png,145.png,90,90,85,125,90,100,580,Electric,Flying,Electric Pokémon,1.6,52.6,pressure,null,static,3 SpA,no-eggs,null,xx,xx
Zapdos-galar,145,zapdos-galar.png,145.png,90,125,90,85,90,100,580,Fighting,Flying,Electric Pokémon,1.6,58.2,pressure,null,static,3 Atk,no-eggs,null,xx,xx
Moltres,146,moltres.png,146.png,90,100,90,125,85,90,580,Fire,Flying,Flame Pokémon,2,60,pressure,null,flame-body,3 SpA,no-eggs,null,xx,xx
Moltres-galar,146,moltres-galar.png,146.png,90,85,90,100,125,90,580,Dark,Flying,Flame Pokémon,2,66,pressure,null,flame-body,3 SpD,no-eggs,null,xx,xx
Dratini,147,dratini.png,147.png,41,64,45,50,50,50,300,Dragon,xx,Dragon Pokémon,1.8,3.3,shed-skin,null,marvel-scale,1 Atk,water1,dragon,50,30
Dragonair,148,dragonair.png,148.png,61,84,65,70,70,70,420,Dragon,xx,Dragon Pokémon,4,16.5,shed-skin,null,marvel-scale,2 Atk,water1,dragon,50,55
Dragonite,149,dragonite.png,149.png,91,134,95,100,100,80,600,Dragon,Flying,Dragon Pokémon,2.2,210,inner-focus,null,multiscale,3 Atk,water1,dragon,50,xx
Mewtwo,150,mewtwo.png,150.png,106,110,90,154,90,130,680,Psychic,xx,Genetic Pokémon,2,122,pressure,null,unnerve,3 SpA,no-eggs,null,xx,xx
Mew,151,mew.png,151.png,100,100,100,100,100,100,600,Psychic,xx,New Species Pokémon,0.4,4,synchronize,null,null,3 HP,no-eggs,null,xx,xx
Chikorita,152,chikorita.png,152.png,45,49,65,49,65,45,318,Grass,xx,Leaf Pokémon,xx,6.4,overgrow,null,leaf-guard,1 SpD,monster,plant,xx,xx
Bayleef,153,bayleef.png,153.png,60,62,80,63,80,60,405,Grass,xx,Leaf Pokémon,xx,15.8,overgrow,null,leaf-guard,1 Def/1 SpD,monster,plant,xx,xx
Meganium,154,meganium.png,154.png,80,82,100,83,100,80,525,Grass,xx,Herb Pokémon,xx,100.5,overgrow,null,leaf-guard,1 Def/2 SpD,monster,plant,xx,xx
Cyndaquil,155,cyndaquil.png,155.png,39,52,43,60,50,65,309,Fire,xx,Fire Mouse Pokémon,xx,7.9,blaze,null,flash-fire,1 Spe,ground,null,xx,xx
Quilava,156,quilava.png,156.png,58,64,58,80,65,80,405,Fire,xx,Volcano Pokémon,xx,19,blaze,null,flash-fire,1 SpA/1 Spe,ground,null,xx,xx
Typhlosion,157,typhlosion.png,157.png,78,84,78,109,85,100,534,Fire,xx,Volcano Pokémon,xx,79.5,blaze,null,flash-fire,3 SpA,ground,null,xx,xx
Typhlosion-hisui,157,typhlosion-hisui.png,157.png,73,84,78,119,85,95,534,Fire,Ghost,Volcano Pokémon,xx,xx,blaze,null,flash-fire,xx,ground,null,xx,xx
Totodile,158,totodile.png,158.png,50,65,64,44,48,43,314,Water,xx,Big Jaw Pokémon,xx,9.5,torrent,null,sheer-force,1 Atk,monster,water1,xx,xx
Croconaw,159,croconaw.png,159.png,65,80,80,59,63,58,405,Water,xx,Big Jaw Pokémon,xx,25,torrent,null,sheer-force,1 Atk/1 Def,monster,water1,xx,xx
Feraligatr,160,feraligatr.png,160.png,85,105,100,79,83,78,530,Water,xx,Big Jaw Pokémon,xx,88.8,torrent,null,sheer-force,2 Atk/1 Def,monster,water1,xx,xx
Sentret,161,sentret.png,161.png,35,46,34,35,45,20,215,Normal,xx,Scout Pokémon,xx,6,run-away,keen-eye,frisk,1 Atk,ground,null,xx,xx
Furret,162,furret.png,162.png,85,76,64,45,55,90,415,Normal,xx,Long Body Pokémon,xx,32.5,run-away,keen-eye,frisk,2 Spe,ground,null,xx,xx
Hoothoot,163,hoothoot.png,163.png,60,30,30,36,56,50,262,Normal,Flying,Owl Pokémon,xx,21.2,insomnia,keen-eye,tinted-lens,1 HP,flying,null,xx,xx
Noctowl,164,noctowl.png,164.png,100,50,50,86,96,70,452,Normal,Flying,Owl Pokémon,xx,40.8,insomnia,keen-eye,tinted-lens,2 HP,flying,null,xx,xx
Ledyba,165,ledyba.png,165.png,40,20,30,40,80,55,265,Bug,Flying,Five Star Pokémon,xx,10.8,swarm,early-bird,rattled,1 SpD,bug,null,xx,xx
Ledian,166,ledian.png,166.png,55,35,50,55,110,85,390,Bug,Flying,Five Star Pokémon,xx,35.6,swarm,early-bird,iron-fist,2 SpD,bug,null,xx,xx
Spinarak,167,spinarak.png,167.png,40,60,40,40,40,30,250,Bug,Poison,String Spit Pokémon,xx,8.5,swarm,insomnia,sniper,1 Atk,bug,null,xx,xx
Ariados,168,ariados.png,168.png,70,90,70,60,70,40,400,Bug,Poison,Long Leg Pokémon,xx,33.5,swarm,insomnia,sniper,2 Atk,bug,null,xx,xx
Crobat,169,crobat.png,169.png,85,90,80,70,80,130,535,Poison,Flying,Bat Pokémon,xx,75,inner-focus,null,infiltrator,3 Spe,flying,null,xx,xx
Chinchou,170,chinchou.png,170.png,75,38,38,56,56,67,330,Water,Electric,Angler Pokémon,xx,12,volt-absorb,illuminate,water-absorb,1 HP,water2,null,xx,xx
Lanturn,171,lanturn.png,171.png,125,58,58,76,76,67,460,Water,Electric,Light Pokémon,xx,22.5,volt-absorb,illuminate,water-absorb,2 HP,water2,null,xx,xx
Pichu,172,pichu.png,172.png,20,40,15,35,35,60,205,Electric,xx,Tiny Mouse Pokémon,xx,2,static,null,lightning-rod,1 Spe,no-eggs,null,xx,xx
Cleffa,173,cleffa.png,173.png,50,25,28,45,55,15,218,Fairy,xx,Star Shape Pokémon,xx,3,cute-charm,magic-guard,friend-guard,2 SpD,no-eggs,null,xx,xx
Igglybuff,174,igglybuff.png,174.png,90,30,15,40,20,15,210,Normal,Fairy,Balloon Pokémon,xx,1,cute-charm,competitive,friend-guard,1 HP,no-eggs,null,xx,xx
Togepi,175,togepi.png,175.png,35,20,65,40,65,20,245,Fairy,xx,Spike Ball Pokémon,xx,1.5,hustle,serene-grace,super-luck,1 SpD,no-eggs,null,xx,xx
Togetic,176,togetic.png,176.png,55,40,85,80,105,40,405,Fairy,Flying,Happiness Pokémon,xx,3.2,hustle,serene-grace,super-luck,2 SpD,flying,fairy,xx,xx
Natu,177,natu.png,177.png,40,50,45,70,45,70,320,Psychic,Flying,Tiny Bird Pokémon,xx,2,synchronize,early-bird,magic-bounce,1 SpA,flying,null,xx,xx
Xatu,178,xatu.png,178.png,65,75,70,95,70,95,470,Psychic,Flying,Mystic Pokémon,xx,15,synchronize,early-bird,magic-bounce,1 SpA/1 Spe,flying,null,xx,xx
Mareep,179,mareep.png,179.png,55,40,40,65,45,35,280,Electric,xx,Wool Pokémon,xx,7.8,static,null,plus,1 SpA,monster,ground,xx,xx
Flaaffy,180,flaaffy.png,180.png,70,55,55,80,60,45,365,Electric,xx,Wool Pokémon,xx,13.3,static,null,plus,2 SpA,monster,ground,xx,xx
Ampharos,181,ampharos.png,181.png,90,75,85,115,90,55,510,Electric,xx,Light Pokémon,xx,61.5,static,null,plus,3 SpA,monster,ground,xx,xx
Bellossom,182,bellossom.png,182.png,75,80,95,90,100,50,490,Grass,xx,Flower Pokémon,xx,5.8,chlorophyll,null,healer,3 SpD,plant,null,xx,xx
Marill,183,marill.png,183.png,70,20,50,20,50,40,250,Water,Fairy,Aqua Mouse Pokémon,xx,8.5,thick-fat,huge-power,sap-sipper,2 HP,water1,fairy,xx,xx
Azumarill,184,azumarill.png,184.png,100,50,80,60,80,50,420,Water,Fairy,Aqua Rabbit Pokémon,xx,28.5,thick-fat,huge-power,sap-sipper,3 HP,water1,fairy,xx,xx
Sudowoodo,185,sudowoodo.png,185.png,70,100,115,30,65,30,410,Rock,xx,Imitation Pokémon,xx,38,sturdy,rock-head,rattled,2 Def,mineral,null,xx,xx
Politoed,186,politoed.png,186.png,90,75,75,90,100,70,500,Water,xx,Frog Pokémon,xx,33.9,water-absorb,damp,drizzle,3 SpD,water1,null,xx,xx
Hoppip,187,hoppip.png,187.png,35,35,40,35,55,50,250,Grass,Flying,Cottonweed Pokémon,xx,0.5,chlorophyll,leaf-guard,infiltrator,1 SpD,fairy,plant,xx,xx
Skiploom,188,skiploom.png,188.png,55,45,50,45,65,80,340,Grass,Flying,Cottonweed Pokémon,xx,1,chlorophyll,leaf-guard,infiltrator,2 Spe,fairy,plant,xx,xx
Jumpluff,189,jumpluff.png,189.png,75,55,70,55,95,110,460,Grass,Flying,Cottonweed Pokémon,xx,3,chlorophyll,leaf-guard,infiltrator,3 Spe,plant,fairy,xx,xx
Aipom,190,aipom.png,190.png,55,70,55,40,55,85,360,Normal,xx,Long Tail Pokémon,xx,11.5,run-away,pickup,skill-link,1 Spe,ground,null,xx,xx
Sunkern,191,sunkern.png,191.png,30,30,30,30,30,30,180,Grass,xx,Seed Pokémon,xx,1.8,chlorophyll,solar-power,early-bird,1 SpA,plant,null,xx,xx
Sunflora,192,sunflora.png,192.png,75,75,55,105,85,30,425,Grass,xx,Sun Pokémon,xx,8.5,chlorophyll,solar-power,early-bird,2 SpA,plant,null,xx,xx
Yanma,193,yanma.png,193.png,65,65,45,75,45,95,390,Bug,Flying,Clear Wing Pokémon,xx,38,speed-boost,compound-eyes,frisk,2 Spe,bug,null,xx,xx
Wooper,194,wooper.png,194.png,55,45,45,25,25,15,210,Water,Ground,Water Fish Pokémon,xx,8.5,damp,water-absorb,unaware,1 HP,water1,ground,xx,xx
Wooper-paldea,194,wooper-paldea.png,194.png,55,45,45,25,25,15,210,Poison,Ground,Water Fish Pokémon,xx,xx,damp,water-absorb,unaware,xx,water1,ground,xx,xx
Quagsire,195,quagsire.png,195.png,95,85,85,65,65,35,430,Water,Ground,Water Fish Pokémon,xx,75,damp,water-absorb,unaware,2 HP,water1,ground,xx,xx
Espeon,196,espeon.png,196.png,65,65,60,130,95,110,525,Psychic,xx,Sun Pokémon,xx,26.5,synchronize,null,magic-bounce,2 SpA,ground,null,xx,xx
Umbreon,197,umbreon.png,197.png,95,65,110,60,130,65,525,Dark,xx,Moonlight Pokémon,xx,27,synchronize,null,inner-focus,2 SpD,ground,null,xx,xx
Murkrow,198,murkrow.png,198.png,60,85,42,85,42,91,405,Dark,Flying,Darkness Pokémon,xx,2.1,insomnia,super-luck,prankster,1 Spe,flying,null,xx,xx
Slowking,199,slowking.png,199.png,95,75,80,100,110,30,490,Water,Psychic,Royal Pokémon,xx,79.5,oblivious,own-tempo,regenerator,3 SpD,monster,water1,xx,xx
Slowking-galar,199,slowking-galar.png,199.png,95,65,80,110,110,30,490,Poison,Psychic,Royal Pokémon,xx,xx,oblivious,own-tempo,regenerator,xx,monster,water1,xx,xx
Misdreavus,200,misdreavus.png,200.png,60,60,60,85,85,85,435,Ghost,xx,Screech Pokémon,xx,1,levitate,null,null,1 SpD,indeterminate,null,xx,xx
Unown,201,unown.png,201.png,48,72,48,72,48,48,336,Psychic,xx,Symbol Pokémon,xx,5,levitate,null,null,1 Atk/1 SpA,no-eggs,null,xx,xx
Wobbuffet,202,wobbuffet.png,202.png,190,33,58,33,58,33,405,Psychic,xx,Patient Pokémon,xx,28.5,shadow-tag,null,telepathy,2 HP,indeterminate,null,xx,xx
Girafarig,203,girafarig.png,203.png,70,80,65,90,65,85,455,Normal,Psychic,Long Neck Pokémon,xx,41.5,inner-focus,early-bird,sap-sipper,2 SpA,ground,null,xx,xx
Pineco,204,pineco.png,204.png,50,65,90,35,35,15,290,Bug,xx,Bagworm Pokémon,xx,7.2,sturdy,null,overcoat,1 Def,bug,null,xx,xx
Forretress,205,forretress.png,205.png,75,90,140,60,60,40,465,Bug,Steel,Bagworm Pokémon,xx,125.8,sturdy,null,overcoat,2 Def,bug,null,xx,xx
Dunsparce,206,dunsparce.png,206.png,100,70,70,65,65,45,415,Normal,xx,Land Snake Pokémon,xx,14,serene-grace,run-away,rattled,1 HP,ground,null,xx,xx
Gligar,207,gligar.png,207.png,65,75,105,35,65,85,430,Ground,Flying,Fly Scorpion Pokémon,xx,64.8,hyper-cutter,sand-veil,immunity,1 Def,bug,null,xx,xx
Steelix,208,steelix.png,208.png,75,85,200,55,65,30,510,Steel,Ground,Iron Snake Pokémon,xx,400,rock-head,sturdy,sheer-force,2 Def,mineral,null,xx,xx
Snubbull,209,snubbull.png,209.png,60,80,50,40,40,30,300,Fairy,xx,Fairy Pokémon,xx,7.8,intimidate,run-away,rattled,1 Atk,ground,fairy,xx,xx
Granbull,210,granbull.png,210.png,90,120,75,60,60,45,450,Fairy,xx,Fairy Pokémon,xx,48.7,intimidate,quick-feet,rattled,2 Atk,ground,fairy,xx,xx
Qwilfish,211,qwilfish.png,211.png,65,95,85,55,55,85,440,Water,Poison,Balloon Pokémon,xx,3.9,poison-point,swift-swim,intimidate,1 Atk,water2,null,xx,xx
Qwilfish-hisui,211,qwilfish-hisui.png,211.png,65,95,85,55,55,85,440,Dark,Poison,Balloon Pokémon,xx,xx,poison-point,swift-swim,intimidate,xx,water2,null,xx,xx
Scizor,212,scizor.png,212.png,70,130,100,55,80,65,500,Bug,Steel,Pincer Pokémon,xx,118,swarm,technician,light-metal,2 Atk,bug,null,xx,xx
Shuckle,213,shuckle.png,213.png,20,10,230,10,230,5,505,Bug,Rock,Mold Pokémon,xx,20.5,sturdy,gluttony,contrary,1 Def/1 SpD,bug,null,xx,xx
Heracross,214,heracross.png,214.png,80,125,75,40,95,85,500,Bug,Fighting,Single Horn Pokémon,xx,54,swarm,guts,moxie,2 Atk,bug,null,xx,xx
Sneasel,215,sneasel.png,215.png,55,95,55,35,75,115,430,Dark,Ice,Sharp Claw Pokémon,xx,28,inner-focus,keen-eye,pickpocket,1 Spe,ground,null,xx,xx
Sneasel-hisui,215,sneasel-hisui.png,215.png,55,95,55,35,75,115,430,Fighting,Poison,Sharp Claw Pokémon,xx,xx,inner-focus,keen-eye,pickpocket,xx,ground,null,xx,xx
Teddiursa,216,teddiursa.png,216.png,60,80,50,50,50,40,330,Normal,xx,Little Bear Pokémon,xx,8.8,pickup,quick-feet,honey-gather,1 Atk,ground,null,xx,xx
Ursaring,217,ursaring.png,217.png,90,130,75,75,75,55,500,Normal,xx,Hibernator Pokémon,xx,125.8,guts,quick-feet,unnerve,2 Atk,ground,null,xx,xx
Slugma,218,slugma.png,218.png,40,40,40,70,40,20,250,Fire,xx,Lava Pokémon,xx,35,magma-armor,flame-body,weak-armor,1 SpA,indeterminate,null,xx,xx
Magcargo,219,magcargo.png,219.png,60,50,120,90,80,30,430,Fire,Rock,Lava Pokémon,xx,55,magma-armor,flame-body,weak-armor,2 Def,indeterminate,null,xx,xx
Swinub,220,swinub.png,220.png,50,50,40,30,30,50,250,Ice,Ground,Pig Pokémon,xx,6.5,oblivious,snow-cloak,thick-fat,1 Atk,ground,null,xx,xx
Piloswine,221,piloswine.png,221.png,100,100,80,60,60,50,450,Ice,Ground,Swine Pokémon,xx,55.8,oblivious,snow-cloak,thick-fat,1 HP/1 Atk,ground,null,xx,xx
Corsola,222,corsola.png,222.png,65,55,95,65,95,35,410,Water,Rock,Coral Pokémon,xx,5,hustle,natural-cure,regenerator,1 Def/1 SpD,water1,water3,xx,xx
Corsola-galar,222,corsola-galar.png,222.png,60,55,100,65,100,30,410,Ghost,xx,Coral Pokémon,xx,xx,hustle,natural-cure,regenerator,xx,water1,water3,xx,xx
Remoraid,223,remoraid.png,223.png,35,65,35,65,35,65,300,Water,xx,Jet Pokémon,xx,12,hustle,sniper,moody,1 SpA,water1,water2,xx,xx
Octillery,224,octillery.png,224.png,75,105,75,105,75,45,480,Water,xx,Jet Pokémon,xx,28.5,suction-cups,sniper,moody,1 Atk/1 SpA,water1,water2,xx,xx
Delibird,225,delibird.png,225.png,45,55,45,65,45,75,330,Ice,Flying,Delivery Pokémon,xx,16,vital-spirit,hustle,insomnia,1 Spe,water1,ground,xx,xx
Mantine,226,mantine.png,226.png,85,40,70,80,140,70,485,Water,Flying,Kite Pokémon,xx,220,swift-swim,water-absorb,water-veil,2 SpD,water1,null,xx,xx
Skarmory,227,skarmory.png,227.png,65,80,140,40,70,70,465,Steel,Flying,Armor Bird Pokémon,xx,50.5,keen-eye,sturdy,weak-armor,2 Def,flying,null,xx,xx
Houndour,228,houndour.png,228.png,45,60,30,80,50,65,330,Dark,Fire,Dark Pokémon,xx,10.8,early-bird,flash-fire,unnerve,1 SpA,ground,null,xx,xx
Houndoom,229,houndoom.png,229.png,75,90,50,110,80,95,500,Dark,Fire,Dark Pokémon,xx,35,early-bird,flash-fire,unnerve,2 SpA,ground,null,xx,xx
Kingdra,230,kingdra.png,230.png,75,95,95,95,95,85,540,Water,Dragon,Dragon Pokémon,xx,152,swift-swim,sniper,damp,1 Atk/1 SpA/1 SpD,water1,dragon,xx,xx
Phanpy,231,phanpy.png,231.png,90,60,60,40,40,40,330,Ground,xx,Long Nose Pokémon,xx,33.5,pickup,null,sand-veil,1 HP,ground,null,xx,xx
Donphan,232,donphan.png,232.png,90,120,120,60,60,50,500,Ground,xx,Armor Pokémon,xx,120,sturdy,null,sand-veil,1 Atk/1 Def,ground,null,xx,xx
Porygon2,233,porygon2.png,233.png,85,80,90,105,95,60,515,Normal,xx,Virtual Pokémon,xx,32.5,trace,download,analytic,2 SpA,mineral,null,xx,xx
Stantler,234,stantler.png,234.png,73,95,62,85,65,85,465,Normal,xx,Big Horn Pokémon,xx,71.2,intimidate,frisk,sap-sipper,1 Atk,ground,null,xx,xx
Smeargle,235,smeargle.png,235.png,55,20,35,20,45,75,250,Normal,xx,Painter Pokémon,xx,58,own-tempo,technician,moody,1 Spe,ground,null,xx,xx
Tyrogue,236,tyrogue.png,236.png,35,35,35,35,35,35,210,Fighting,xx,Scuffle Pokémon,xx,21,guts,steadfast,vital-spirit,1Atk,no-eggs,null,xx,xx
Hitmontop,237,hitmontop.png,237.png,50,95,95,35,110,70,455,Fighting,xx,Handstand Pokémon,xx,48,intimidate,technician,steadfast,2 SpD,humanshape,null,xx,xx
Smoochum,238,smoochum.png,238.png,45,30,15,85,65,65,305,Ice,Psychic,Kiss Pokémon,xx,6,oblivious,forewarn,hydration,1 SpA,no-eggs,null,xx,xx
Elekid,239,elekid.png,239.png,45,63,37,65,55,95,360,Electric,xx,Electric Pokémon,xx,23.5,static,null,vital-spirit,1 Spe,no-eggs,null,xx,xx
Magby,240,magby.png,240.png,45,75,37,70,55,83,365,Fire,xx,Live Coal Pokémon,xx,21.4,flame-body,null,vital-spirit,1 Spe,no-eggs,null,xx,xx
Miltank,241,miltank.png,241.png,95,80,105,40,70,100,490,Normal,xx,Milk Cow Pokémon,xx,75.5,thick-fat,scrappy,sap-sipper,2 Def,ground,null,xx,xx
Blissey,242,blissey.png,242.png,255,10,10,75,135,55,540,Normal,xx,Happiness Pokémon,xx,46.8,natural-cure,serene-grace,healer,3 HP,fairy,null,xx,xx
Raikou,243,raikou.png,243.png,90,85,75,115,100,115,580,Electric,xx,Thunder Pokémon,xx,178,pressure,null,inner-focus,1 SpA/2 Spe,no-eggs,null,xx,xx
Entei,244,entei.png,244.png,115,115,85,90,75,100,580,Fire,xx,Volcano Pokémon,xx,198,pressure,null,inner-focus,1 HP/2 Atk,no-eggs,null,xx,xx
Suicune,245,suicune.png,245.png,100,75,115,90,115,85,580,Water,xx,Aurora Pokémon,xx,187,pressure,null,inner-focus,1 Def/2 SpD,no-eggs,null,xx,xx
Larvitar,246,larvitar.png,246.png,50,64,50,45,50,41,300,Rock,Ground,Rock Skin Pokémon,xx,72,guts,null,sand-veil,1 Atk,monster,null,xx,xx
Pupitar,247,pupitar.png,247.png,70,84,70,65,70,51,410,Rock,Ground,Hard Shell Pokémon,xx,152,shed-skin,null,null,2 Atk,monster,null,xx,xx
Tyranitar,248,tyranitar.png,248.png,100,134,110,95,100,61,600,Rock,Dark,Armor Pokémon,xx,202,sand-stream,null,unnerve,3 Atk,monster,null,xx,xx
Lugia,249,lugia.png,249.png,106,90,130,90,154,110,680,Psychic,Flying,Diving Pokémon,xx,216,pressure,null,multiscale,3 SpD,no-eggs,null,xx,xx
Ho-oh,250,ho-oh.png,250.png,106,130,90,110,154,90,680,Fire,Flying,Rainbow Pokémon,xx,199,pressure,null,regenerator,3 SpD,no-eggs,null,xx,xx
Celebi,251,celebi.png,251.png,100,100,100,100,100,100,600,Psychic,Grass,Time Travel Pokémon,xx,5,natural-cure,null,null,3 HP,no-eggs,null,xx,xx
Treecko,252,treecko.png,252.png,40,45,35,65,55,70,310,Grass,xx,Wood Gecko Pokémon,xx,5,overgrow,null,unburden,1 Spe,monster,dragon,xx,xx
Grovyle,253,grovyle.png,253.png,50,65,45,85,65,95,405,Grass,xx,Wood Gecko Pokémon,xx,21.6,overgrow,null,unburden,2 Spe,monster,dragon,xx,xx
Sceptile,254,sceptile.png,254.png,70,85,65,105,85,120,530,Grass,xx,Forest Pokémon,xx,52.2,overgrow,null,unburden,3 Spe,monster,dragon,xx,xx
Torchic,255,torchic.png,255.png,45,60,40,70,50,45,310,Fire,xx,Chick Pokémon,xx,2.5,blaze,null,speed-boost,1 SpA,ground,null,xx,xx
Combusken,256,combusken.png,256.png,60,85,60,85,60,55,405,Fire,Fighting,Young Fowl Pokémon,xx,19.5,blaze,null,speed-boost,1 Atk/1 SpA,ground,null,xx,xx
Blaziken,257,blaziken.png,257.png,80,120,70,110,70,80,530,Fire,Fighting,Blaze Pokémon,xx,52,blaze,null,speed-boost,3 Atk,ground,null,xx,xx
Mudkip,258,mudkip.png,258.png,50,70,50,50,50,40,310,Water,xx,Mud Fish Pokémon,xx,7.6,torrent,null,damp,1 Atk,monster,water1,xx,xx
Marshtomp,259,marshtomp.png,259.png,70,85,70,60,70,50,405,Water,Ground,Mud Fish Pokémon,xx,28,torrent,null,damp,2 Atk,monster,water1,xx,xx
Swampert,260,swampert.png,260.png,100,110,90,85,90,60,535,Water,Ground,Mud Fish Pokémon,xx,81.9,torrent,null,damp,3 Atk,monster,water1,xx,xx
Poochyena,261,poochyena.png,261.png,35,55,35,30,30,35,220,Dark,xx,Bite Pokémon,xx,13.6,run-away,quick-feet,rattled,1 Atk,ground,null,xx,xx
Mightyena,262,mightyena.png,262.png,70,90,70,60,60,70,420,Dark,xx,Bite Pokémon,xx,37,intimidate,quick-feet,moxie,2 Atk,ground,null,xx,xx
Zigzagoon,263,zigzagoon.png,263.png,38,30,41,30,41,60,240,Normal,xx,Tiny Raccoon Pokémon,xx,17.5,pickup,gluttony,quick-feet,1 Spe,ground,null,xx,xx
Zigzagoon-galar,263,zigzagoon-galar.png,263.png,38,30,41,30,41,60,240,Dark,Normal,Tiny Raccoon Pokémon,xx,xx,pickup,gluttony,quick-feet,xx,ground,null,xx,xx
Linoone,264,linoone.png,264.png,78,70,61,50,61,100,420,Normal,xx,Rushing Pokémon,xx,32.5,pickup,gluttony,quick-feet,2 Spe,ground,null,xx,xx
Linoone-galar,264,linoone-galar.png,264.png,78,70,61,50,61,100,420,Dark,Normal,Rushing Pokémon,xx,xx,pickup,gluttony,quick-feet,xx,ground,null,xx,xx
Wurmple,265,wurmple.png,265.png,45,45,35,20,30,20,195,Bug,xx,Worm Pokémon,xx,3.6,shield-dust,null,run-away,1 HP,bug,null,xx,xx
Silcoon,266,silcoon.png,266.png,50,35,55,25,25,15,205,Bug,xx,Cocoon Pokémon,xx,10,shed-skin,null,null,2 Def,bug,null,xx,xx
