Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height,Weight,Ability_I,Ability_Ii,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_Ii,Gender
Mr. Mime-galar,122,mr-mime-galar.png,122-galar.png,50,65,65,90,90,100,460,Ice,Psychic,Barrier Pokemon,1.4,56.8,Soundproof,Filter,Technician,2 Spe,Humanshape,null,50
Scyther,123,scyther.png,123.png,70,110,80,55,80,105,500,Bug,Flying,Mantis Pokemon,1.5,56,Swarm,Technician,Steadfast,1 Atk,Bug,null,50
Jynx,124,jynx.png,124.png,65,50,35,115,95,95,455,Ice,Psychic,Human Shape Pokemon,1.4,40.6,Oblivious,Forewarn,Dry Skin,2 SpA,Humanshape,null,0
Electabuzz,125,electabuzz.png,125.png,65,83,57,95,85,105,490,Electric,null,Electric Pokemon,1.1,30,Static,null,Vital Spirit,2 Spe,Humanshape,null,75
Magmar,126,magmar.png,126.png,65,95,57,100,85,93,495,Fire,null,Spitfire Pokemon,1.3,44.5,Flame Body,null,Vital Spirit,2 SpA,Humanshape,null,75
Pinsir,127,pinsir.png,127.png,65,125,100,55,70,85,500,Bug,null,Stag Beetle Pokemon,1.5,55,Hyper Cutter,Mold Breaker,Moxie,2 Atk,Bug,null,50
Tauros,128,tauros.png,128.png,75,100,95,40,70,110,490,Normal,null,Wild Bull Pokemon,1.4,88.4,Intimidate,Anger Point,Sheer Force,1 Atk/1 Spe,Ground,null,100
Magikarp,129,magikarp.png,129.png,20,10,55,15,20,80,200,Water,null,Fish Pokemon,0.9,10,Swift Swim,null,Rattled,1 Spe,Water2,Dragon,50
Gyarados,130,gyarados.png,130.png,95,125,79,60,100,81,540,Water,Flying,Atrocious Pokemon,6.5,235,Intimidate,null,Moxie,2 Atk,Water2,Dragon,50
Lapras,131,lapras.png,131.png,130,85,80,85,95,60,535,Water,Ice,Transport Pokemon,2.5,220,Water Absorb,Shell Armor,Hydration,2 HP,Water1,Monster,50
Ditto,132,ditto.png,132.png,48,48,48,48,48,48,288,Normal,null,Transform Pokemon,0.3,4,Limber,null,Imposter,1 HP,Ditto,null,null
Eevee,133,eevee.png,133.png,55,55,50,45,65,55,325,Normal,null,Evolution Pokemon,0.3,6.5,Run Away,Adaptability,Anticipation,1 SpD,Ground,null,87.5
Vaporeon,134,vaporeon.png,134.png,130,65,60,110,95,65,525,Water,null,Bubble Jet Pokemon,1,29,Water Absorb,null,Hydration,2 HP,Ground,null,87.5
Jolteon,135,jolteon.png,135.png,65,65,60,110,95,130,525,Electric,null,Lightning Pokemon,0.8,24.5,Volt Absorb,null,Quick Feet,2 Spe,Ground,null,87.5
Flareon,136,flareon.png,136.png,65,130,60,95,110,65,525,Fire,null,Flame Pokemon,0.9,25,Flash Fire,null,Guts,2 Atk,Ground,null,87.5
Porygon,137,porygon.png,137.png,65,60,70,85,75,40,395,Normal,null,Virtual Pokemon,0.8,36.5,Trace,Download,Analytic,1 SpA,Mineral,null,null
Omanyte,138,omanyte.png,138.png,35,40,100,90,55,35,355,Rock,Water,Spiral Pokemon,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,1 Def,Water1,Water3,87.5
Omastar,139,omastar.png,139.png,70,60,125,115,70,55,495,Rock,Water,Spiral Pokemon,1,35,Swift Swim,Shell Armor,Weak Armor,2 Def,Water1,Water3,87.5
Kabuto,140,kabuto.png,140.png,30,80,90,55,45,55,355,Rock,Water,Shellfish Pokemon,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,1 Def,Water1,Water3,87.5
Kabutops,141,kabutops.png,141.png,60,115,105,65,70,80,495,Rock,Water,Shellfish Pokemon,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,2 Atk,Water1,Water3,87.5
Aerodactyl,142,aerodactyl.png,142.png,80,105,65,60,75,130,515,Rock,Flying,Fossil Pokemon,1.8,59,Rock Head,Pressure,Unnerve,2 Spe,Flying,null,87.5
Snorlax,143,snorlax.png,143.png,160,110,65,65,110,30,540,Normal,null,Sleeping Pokemon,2.1,460,Immunity,Thick Fat,Gluttony,2 HP,Monster,null,87.5
Articuno,144,articuno.png,144.png,90,85,100,95,125,85,580,Ice,Flying,Freeze Pokemon,1.7,55.4,Pressure,null,Snow Cloak,3 SpD,No-Eggs,null,null
Articuno-galar,144,articuno-galar.png,144-galar.png,90,85,85,125,100,95,580,Psychic,Flying,Freeze Pokemon,1.7,50.9,Pressure,null,Snow Cloak,2 SpA,No-Eggs,null,null
Zapdos,145,zapdos.png,145.png,90,90,85,125,90,100,580,Electric,Flying,Electric Pokemon,1.6,52.6,Pressure,null,Static,3 SpA,No-Eggs,null,null
Zapdos-galar,145,zapdos-galar.png,145-galar.png,90,125,90,85,90,100,580,Fighting,Flying,Electric Pokemon,1.6,58.2,Pressure,null,Static,3 Atk,No-Eggs,null,null
Moltres,146,moltres.png,146.png,90,100,90,125,85,90,580,Fire,Flying,Flame Pokemon,2,60,Pressure,null,Flame Body,3 SpA,No-Eggs,null,null
Moltres-galar,146,moltres-galar.png,146-galar.png,90,85,90,100,125,90,580,Dark,Flying,Flame Pokemon,2,66,Pressure,null,Flame Body,3 SpD,No-Eggs,null,null
Dratini,147,dratini.png,147.png,41,64,45,50,50,50,300,Dragon,null,Dragon Pokemon,1.8,3.3,Shed Skin,null,Marvel Scale,1 Atk,Water1,Dragon,50
Dragonair,148,dragonair.png,148.png,61,84,65,70,70,70,420,Dragon,null,Dragon Pokemon,4,16.5,Shed Skin,null,Marvel Scale,2 Atk,Water1,Dragon,50
Dragonite,149,dragonite.png,149.png,91,134,95,100,100,80,600,Dragon,Flying,Dragon Pokemon,2.2,210,Inner Focus,null,Multiscale,3 Atk,Water1,Dragon,50
Mewtwo,150,mewtwo.png,150.png,106,110,90,154,90,130,680,Psychic,null,Genetic Pokemon,2,122,Pressure,null,Unnerve,3 SpA,No-Eggs,null,null
Mew,151,mew.png,151.png,100,100,100,100,100,100,600,Psychic,null,New Species Pokemon,0.4,4,Synchronize,null,null,3 HP,No-Eggs,null,null
Chikorita,152,chikorita.png,152.png,45,49,65,49,65,45,318,Grass,null,Leaf Pokemon,null,6.4,Overgrow,null,Leaf Guard,1 SpD,Monster,Plant,null
Bayleef,153,bayleef.png,153.png,60,62,80,63,80,60,405,Grass,null,Leaf Pokemon,null,15.8,Overgrow,null,Leaf Guard,1 Def/1 SpD,Monster,Plant,null
Meganium,154,meganium.png,154.png,80,82,100,83,100,80,525,Grass,null,Herb Pokemon,null,100.5,Overgrow,null,Leaf Guard,1 Def/2 SpD,Monster,Plant,null
Cyndaquil,155,cyndaquil.png,155.png,39,52,43,60,50,65,309,Fire,null,Fire Mouse Pokemon,null,7.9,Blaze,null,Flash Fire,1 Spe,Ground,null,null
Quilava,156,quilava.png,156.png,58,64,58,80,65,80,405,Fire,null,Volcano Pokemon,null,19,Blaze,null,Flash Fire,1 SpA/1 Spe,Ground,null,null
Typhlosion,157,typhlosion.png,157.png,78,84,78,109,85,100,534,Fire,null,Volcano Pokemon,null,79.5,Blaze,null,Flash Fire,3 SpA,Ground,null,null
Typhlosion-hisui,157,typhlosion-hisui.png,157-hisui.png,73,84,78,119,85,95,534,Fire,Ghost,Volcano Pokemon,null,null,Blaze,null,Flash Fire,null,Ground,null,null
Totodile,158,totodile.png,158.png,50,65,64,44,48,43,314,Water,null,Big Jaw Pokemon,null,9.5,Torrent,null,Sheer Force,1 Atk,Monster,Water1,null
Croconaw,159,croconaw.png,159.png,65,80,80,59,63,58,405,Water,null,Big Jaw Pokemon,null,25,Torrent,null,Sheer Force,1 Atk/1 Def,Monster,Water1,null
Feraligatr,160,feraligatr.png,160.png,85,105,100,79,83,78,530,Water,null,Big Jaw Pokemon,null,88.8,Torrent,null,Sheer Force,2 Atk/1 Def,Monster,Water1,null
Sentret,161,sentret.png,161.png,35,46,34,35,45,20,215,Normal,null,Scout Pokemon,null,6,Run Away,Keen Eye,Frisk,1 Atk,Ground,null,null
Furret,162,furret.png,162.png,85,76,64,45,55,90,415,Normal,null,Long Body Pokemon,null,32.5,Run Away,Keen Eye,Frisk,2 Spe,Ground,null,null
Hoothoot,163,hoothoot.png,163.png,60,30,30,36,56,50,262,Normal,Flying,Owl Pokemon,null,21.2,Insomnia,Keen Eye,Tinted Lens,1 HP,Flying,null,null
Noctowl,164,noctowl.png,164.png,100,50,50,86,96,70,452,Normal,Flying,Owl Pokemon,null,40.8,Insomnia,Keen Eye,Tinted Lens,2 HP,Flying,null,null
Ledyba,165,ledyba.png,165.png,40,20,30,40,80,55,265,Bug,Flying,Five Star Pokemon,null,10.8,Swarm,Early Bird,Rattled,1 SpD,Bug,null,null
Ledian,166,ledian.png,166.png,55,35,50,55,110,85,390,Bug,Flying,Five Star Pokemon,null,35.6,Swarm,Early Bird,Iron Fist,2 SpD,Bug,null,null
Spinarak,167,spinarak.png,167.png,40,60,40,40,40,30,250,Bug,Poison,String Spit Pokemon,null,8.5,Swarm,Insomnia,Sniper,1 Atk,Bug,null,null
Ariados,168,ariados.png,168.png,70,90,70,60,70,40,400,Bug,Poison,Long Leg Pokemon,null,33.5,Swarm,Insomnia,Sniper,2 Atk,Bug,null,null
Crobat,169,crobat.png,169.png,85,90,80,70,80,130,535,Poison,Flying,Bat Pokemon,null,75,Inner Focus,null,Infiltrator,3 Spe,Flying,null,null
Chinchou,170,chinchou.png,170.png,75,38,38,56,56,67,330,Water,Electric,Angler Pokemon,null,12,Volt Absorb,Illuminate,Water Absorb,1 HP,Water2,null,null
Lanturn,171,lanturn.png,171.png,125,58,58,76,76,67,460,Water,Electric,Light Pokemon,null,22.5,Volt Absorb,Illuminate,Water Absorb,2 HP,Water2,null,null
Pichu,172,pichu.png,172.png,20,40,15,35,35,60,205,Electric,null,Tiny Mouse Pokemon,null,2,Static,null,Lightning Rod,1 Spe,No-Eggs,null,null
Cleffa,173,cleffa.png,173.png,50,25,28,45,55,15,218,Fairy,null,Star Shape Pokemon,null,3,Cute Charm,Magic Guard,Friend Guard,2 SpD,No-Eggs,null,null
Igglybuff,174,igglybuff.png,174.png,90,30,15,40,20,15,210,Normal,Fairy,Balloon Pokemon,null,1,Cute Charm,Competitive,Friend Guard,1 HP,No-Eggs,null,null
Togepi,175,togepi.png,175.png,35,20,65,40,65,20,245,Fairy,null,Spike Ball Pokemon,null,1.5,Hustle,Serene Grace,Super Luck,1 SpD,No-Eggs,null,null
Togetic,176,togetic.png,176.png,55,40,85,80,105,40,405,Fairy,Flying,Happiness Pokemon,null,3.2,Hustle,Serene Grace,Super Luck,2 SpD,Flying,Fairy,null
Natu,177,natu.png,177.png,40,50,45,70,45,70,320,Psychic,Flying,Tiny Bird Pokemon,null,2,Synchronize,Early Bird,Magic Bounce,1 SpA,Flying,null,null
Xatu,178,xatu.png,178.png,65,75,70,95,70,95,470,Psychic,Flying,Mystic Pokemon,null,15,Synchronize,Early Bird,Magic Bounce,1 SpA/1 Spe,Flying,null,null
Mareep,179,mareep.png,179.png,55,40,40,65,45,35,280,Electric,null,Wool Pokemon,null,7.8,Static,null,Plus,1 SpA,Monster,Ground,null
Flaaffy,180,flaaffy.png,180.png,70,55,55,80,60,45,365,Electric,null,Wool Pokemon,null,13.3,Static,null,Plus,2 SpA,Monster,Ground,null
Ampharos,181,ampharos.png,181.png,90,75,85,115,90,55,510,Electric,null,Light Pokemon,null,61.5,Static,null,Plus,3 SpA,Monster,Ground,null
Bellossom,182,bellossom.png,182.png,75,80,95,90,100,50,490,Grass,null,Flower Pokemon,null,5.8,Chlorophyll,null,Healer,3 SpD,Plant,null,null
Marill,183,marill.png,183.png,70,20,50,20,50,40,250,Water,Fairy,Aqua Mouse Pokemon,null,8.5,Thick Fat,Huge Power,Sap Sipper,2 HP,Water1,Fairy,null
Azumarill,184,azumarill.png,184.png,100,50,80,60,80,50,420,Water,Fairy,Aqua Rabbit Pokemon,null,28.5,Thick Fat,Huge Power,Sap Sipper,3 HP,Water1,Fairy,null
Sudowoodo,185,sudowoodo.png,185.png,70,100,115,30,65,30,410,Rock,null,Imitation Pokemon,null,38,Sturdy,Rock Head,Rattled,2 Def,Mineral,null,null
Politoed,186,politoed.png,186.png,90,75,75,90,100,70,500,Water,null,Frog Pokemon,null,33.9,Water Absorb,Damp,Drizzle,3 SpD,Water1,null,null
Hoppip,187,hoppip.png,187.png,35,35,40,35,55,50,250,Grass,Flying,Cottonweed Pokemon,null,0.5,Chlorophyll,Leaf Guard,Infiltrator,1 SpD,Fairy,Plant,null
Skiploom,188,skiploom.png,188.png,55,45,50,45,65,80,340,Grass,Flying,Cottonweed Pokemon,null,1,Chlorophyll,Leaf Guard,Infiltrator,2 Spe,Fairy,Plant,null
Jumpluff,189,jumpluff.png,189.png,75,55,70,55,95,110,460,Grass,Flying,Cottonweed Pokemon,null,3,Chlorophyll,Leaf Guard,Infiltrator,3 Spe,Plant,Fairy,null
Aipom,190,aipom.png,190.png,55,70,55,40,55,85,360,Normal,null,Long Tail Pokemon,null,11.5,Run Away,Pickup,Skill Link,1 Spe,Ground,null,null
Sunkern,191,sunkern.png,191.png,30,30,30,30,30,30,180,Grass,null,Seed Pokemon,null,1.8,Chlorophyll,Solar Power,Early Bird,1 SpA,Plant,null,null
Sunflora,192,sunflora.png,192.png,75,75,55,105,85,30,425,Grass,null,Sun Pokemon,null,8.5,Chlorophyll,Solar Power,Early Bird,2 SpA,Plant,null,null
Yanma,193,yanma.png,193.png,65,65,45,75,45,95,390,Bug,Flying,Clear Wing Pokemon,null,38,Speed Boost,Compound Eyes,Frisk,2 Spe,Bug,null,null
Wooper,194,wooper.png,194.png,55,45,45,25,25,15,210,Water,Ground,Water Fish Pokemon,null,8.5,Damp,Water Absorb,Unaware,1 HP,Water1,Ground,null
Wooper-paldea,194,wooper-paldea.png,194.png,55,45,45,25,25,15,210,Poison,Ground,Water Fish Pokemon,null,null,Damp,Water Absorb,Unaware,null,Water1,Ground,null
Quagsire,195,quagsire.png,195.png,95,85,85,65,65,35,430,Water,Ground,Water Fish Pokemon,null,75,Damp,Water Absorb,Unaware,2 HP,Water1,Ground,null
Espeon,196,espeon.png,196.png,65,65,60,130,95,110,525,Psychic,null,Sun Pokemon,null,26.5,Synchronize,null,Magic Bounce,2 SpA,Ground,null,null
Umbreon,197,umbreon.png,197.png,95,65,110,60,130,65,525,Dark,null,Moonlight Pokemon,null,27,Synchronize,null,Inner Focus,2 SpD,Ground,null,null
Murkrow,198,murkrow.png,198.png,60,85,42,85,42,91,405,Dark,Flying,Darkness Pokemon,null,2.1,Insomnia,Super Luck,Prankster,1 Spe,Flying,null,null
Slowking,199,slowking.png,199.png,95,75,80,100,110,30,490,Water,Psychic,Royal Pokemon,null,79.5,Oblivious,Own Tempo,Regenerator,3 SpD,Monster,Water1,null
Slowking-galar,199,slowking-galar.png,199-galar.png,95,65,80,110,110,30,490,Poison,Psychic,Royal Pokemon,null,null,Oblivious,Own Tempo,Regenerator,null,Monster,Water1,null
Misdreavus,200,misdreavus.png,200.png,60,60,60,85,85,85,435,Ghost,null,Screech Pokemon,null,1,Levitate,null,null,1 SpD,Indeterminate,null,null
Unown,201,unown.png,201.png,48,72,48,72,48,48,336,Psychic,null,Symbol Pokemon,null,5,Levitate,null,null,1 Atk/1 SpA,No-Eggs,null,null
Wobbuffet,202,wobbuffet.png,202.png,190,33,58,33,58,33,405,Psychic,null,Patient Pokemon,null,28.5,Shadow Tag,null,Telepathy,2 HP,Indeterminate,null,null
Girafarig,203,girafarig.png,203.png,70,80,65,90,65,85,455,Normal,Psychic,Long Neck Pokemon,null,41.5,Inner Focus,Early Bird,Sap Sipper,2 SpA,Ground,null,null
Pineco,204,pineco.png,204.png,50,65,90,35,35,15,290,Bug,null,Bagworm Pokemon,null,7.2,Sturdy,null,Overcoat,1 Def,Bug,null,null
Forretress,205,forretress.png,205.png,75,90,140,60,60,40,465,Bug,Steel,Bagworm Pokemon,null,125.8,Sturdy,null,Overcoat,2 Def,Bug,null,null
Dunsparce,206,dunsparce.png,206.png,100,70,70,65,65,45,415,Normal,null,Land Snake Pokemon,null,14,Serene Grace,Run Away,Rattled,1 HP,Ground,null,null
Gligar,207,gligar.png,207.png,65,75,105,35,65,85,430,Ground,Flying,Fly Scorpion Pokemon,null,64.8,Hyper Cutter,Sand Veil,Immunity,1 Def,Bug,null,null
Steelix,208,steelix.png,208.png,75,85,200,55,65,30,510,Steel,Ground,Iron Snake Pokemon,null,400,Rock Head,Sturdy,Sheer Force,2 Def,Mineral,null,null
Snubbull,209,snubbull.png,209.png,60,80,50,40,40,30,300,Fairy,null,Fairy Pokemon,null,7.8,Intimidate,Run Away,Rattled,1 Atk,Ground,Fairy,null
Granbull,210,granbull.png,210.png,90,120,75,60,60,45,450,Fairy,null,Fairy Pokemon,null,48.7,Intimidate,Quick Feet,Rattled,2 Atk,Ground,Fairy,null
Qwilfish,211,qwilfish.png,211.png,65,95,85,55,55,85,440,Water,Poison,Balloon Pokemon,null,3.9,Poison Point,Swift Swim,Intimidate,1 Atk,Water2,null,null
Qwilfish-hisui,211,qwilfish-hisui.png,211-hisui.png,65,95,85,55,55,85,440,Dark,Poison,Balloon Pokemon,null,null,Poison Point,Swift Swim,Intimidate,null,Water2,null,null
Scizor,212,scizor.png,212.png,70,130,100,55,80,65,500,Bug,Steel,Pincer Pokemon,null,118,Swarm,Technician,Light Metal,2 Atk,Bug,null,null
Shuckle,213,shuckle.png,213.png,20,10,230,10,230,5,505,Bug,Rock,Mold Pokemon,null,20.5,Sturdy,Gluttony,Contrary,1 Def/1 SpD,Bug,null,null
Heracross,214,heracross.png,214.png,80,125,75,40,95,85,500,Bug,Fighting,Single Horn Pokemon,null,54,Swarm,Guts,Moxie,2 Atk,Bug,null,null
Sneasel,215,sneasel.png,215.png,55,95,55,35,75,115,430,Dark,Ice,Sharp Claw Pokemon,null,28,Inner Focus,Keen Eye,Pickpocket,1 Spe,Ground,null,null
Sneasel-hisui,215,sneasel-hisui.png,215-hisui.png,55,95,55,35,75,115,430,Fighting,Poison,Sharp Claw Pokemon,null,null,Inner Focus,Keen Eye,Pickpocket,null,Ground,null,null
Teddiursa,216,teddiursa.png,216.png,60,80,50,50,50,40,330,Normal,null,Little Bear Pokemon,null,8.8,Pickup,Quick Feet,Honey Gather,1 Atk,Ground,null,null
Ursaring,217,ursaring.png,217.png,90,130,75,75,75,55,500,Normal,null,Hibernator Pokemon,null,125.8,Guts,Quick Feet,Unnerve,2 Atk,Ground,null,null
Slugma,218,slugma.png,218.png,40,40,40,70,40,20,250,Fire,null,Lava Pokemon,null,35,Magma Armor,Flame Body,Weak Armor,1 SpA,Indeterminate,null,null
Magcargo,219,magcargo.png,219.png,60,50,120,90,80,30,430,Fire,Rock,Lava Pokemon,null,55,Magma Armor,Flame Body,Weak Armor,2 Def,Indeterminate,null,null
Swinub,220,swinub.png,220.png,50,50,40,30,30,50,250,Ice,Ground,Pig Pokemon,null,6.5,Oblivious,Snow Cloak,Thick Fat,1 Atk,Ground,null,null
Piloswine,221,piloswine.png,221.png,100,100,80,60,60,50,450,Ice,Ground,Swine Pokemon,null,55.8,Oblivious,Snow Cloak,Thick Fat,1 HP/1 Atk,Ground,null,null
Corsola,222,corsola.png,222.png,65,55,95,65,95,35,410,Water,Rock,Coral Pokemon,null,5,Hustle,Natural Cure,Regenerator,1 Def/1 SpD,Water1,Water3,null
Corsola-galar,222,corsola-galar.png,222-galar.png,60,55,100,65,100,30,410,Ghost,null,Coral Pokemon,null,null,Hustle,Natural Cure,Regenerator,null,Water1,Water3,null
Remoraid,223,remoraid.png,223.png,35,65,35,65,35,65,300,Water,null,Jet Pokemon,null,12,Hustle,Sniper,Moody,1 SpA,Water1,Water2,null
Octillery,224,octillery.png,224.png,75,105,75,105,75,45,480,Water,null,Jet Pokemon,null,28.5,Suction Cups,Sniper,Moody,1 Atk/1 SpA,Water1,Water2,null
Delibird,225,delibird.png,225.png,45,55,45,65,45,75,330,Ice,Flying,Delivery Pokemon,null,16,Vital Spirit,Hustle,Insomnia,1 Spe,Water1,Ground,null
Mantine,226,mantine.png,226.png,85,40,70,80,140,70,485,Water,Flying,Kite Pokemon,null,220,Swift Swim,Water Absorb,Water Veil,2 SpD,Water1,null,null
Skarmory,227,skarmory.png,227.png,65,80,140,40,70,70,465,Steel,Flying,Armor Bird Pokemon,null,50.5,Keen Eye,Sturdy,Weak Armor,2 Def,Flying,null,null
Houndour,228,houndour.png,228.png,45,60,30,80,50,65,330,Dark,Fire,Dark Pokemon,null,10.8,Early Bird,Flash Fire,Unnerve,1 SpA,Ground,null,null
Houndoom,229,houndoom.png,229.png,75,90,50,110,80,95,500,Dark,Fire,Dark Pokemon,null,35,Early Bird,Flash Fire,Unnerve,2 SpA,Ground,null,null
Kingdra,230,kingdra.png,230.png,75,95,95,95,95,85,540,Water,Dragon,Dragon Pokemon,null,152,Swift Swim,Sniper,Damp,1 Atk/1 SpA/1 SpD,Water1,Dragon,null
Phanpy,231,phanpy.png,231.png,90,60,60,40,40,40,330,Ground,null,Long Nose Pokemon,null,33.5,Pickup,null,Sand Veil,1 HP,Ground,null,null
Donphan,232,donphan.png,232.png,90,120,120,60,60,50,500,Ground,null,Armor Pokemon,null,120,Sturdy,null,Sand Veil,1 Atk/1 Def,Ground,null,null
Porygon2,233,porygon2.png,233.png,85,80,90,105,95,60,515,Normal,null,Virtual Pokemon,null,32.5,Trace,Download,Analytic,2 SpA,Mineral,null,null
Stantler,234,stantler.png,234.png,73,95,62,85,65,85,465,Normal,null,Big Horn Pokemon,null,71.2,Intimidate,Frisk,Sap Sipper,1 Atk,Ground,null,null
Smeargle,235,smeargle.png,235.png,55,20,35,20,45,75,250,Normal,null,Painter Pokemon,null,58,Own Tempo,Technician,Moody,1 Spe,Ground,null,null
Tyrogue,236,tyrogue.png,236.png,35,35,35,35,35,35,210,Fighting,null,Scuffle Pokemon,null,21,Guts,Steadfast,Vital Spirit,1Atk,No-Eggs,null,null
Hitmontop,237,hitmontop.png,237.png,50,95,95,35,110,70,455,Fighting,null,Handstand Pokemon,null,48,Intimidate,Technician,Steadfast,2 SpD,Humanshape,null,null
Smoochum,238,smoochum.png,238.png,45,30,15,85,65,65,305,Ice,Psychic,Kiss Pokemon,null,6,Oblivious,Forewarn,Hydration,1 SpA,No-Eggs,null,null
Elekid,239,elekid.png,239.png,45,63,37,65,55,95,360,Electric,null,Electric Pokemon,null,23.5,Static,null,Vital Spirit,1 Spe,No-Eggs,null,null
Magby,240,magby.png,240.png,45,75,37,70,55,83,365,Fire,null,Live Coal Pokemon,null,21.4,Flame Body,null,Vital Spirit,1 Spe,No-Eggs,null,null
Miltank,241,miltank.png,241.png,95,80,105,40,70,100,490,Normal,null,Milk Cow Pokemon,null,75.5,Thick Fat,Scrappy,Sap Sipper,2 Def,Ground,null,null
Blissey,242,blissey.png,242.png,255,10,10,75,135,55,540,Normal,null,Happiness Pokemon,null,46.8,Natural Cure,Serene Grace,Healer,3 HP,Fairy,null,null
Raikou,243,raikou.png,243.png,90,85,75,115,100,115,580,Electric,null,Thunder Pokemon,null,178,Pressure,null,Inner Focus,1 SpA/2 Spe,No-Eggs,null,null
Entei,244,entei.png,244.png,115,115,85,90,75,100,580,Fire,null,Volcano Pokemon,null,198,Pressure,null,Inner Focus,1 HP/2 Atk,No-Eggs,null,null
Suicune,245,suicune.png,245.png,100,75,115,90,115,85,580,Water,null,Aurora Pokemon,null,187,Pressure,null,Inner Focus,1 Def/2 SpD,No-Eggs,null,null
Larvitar,246,larvitar.png,246.png,50,64,50,45,50,41,300,Rock,Ground,Rock Skin Pokemon,null,72,Guts,null,Sand Veil,1 Atk,Monster,null,null
Pupitar,247,pupitar.png,247.png,70,84,70,65,70,51,410,Rock,Ground,Hard Shell Pokemon,null,152,Shed Skin,null,null,2 Atk,Monster,null,null
Tyranitar,248,tyranitar.png,248.png,100,134,110,95,100,61,600,Rock,Dark,Armor Pokemon,null,202,Sand Stream,null,Unnerve,3 Atk,Monster,null,null
Lugia,249,lugia.png,249.png,106,90,130,90,154,110,680,Psychic,Flying,Diving Pokemon,null,216,Pressure,null,Multiscale,3 SpD,No-Eggs,null,null
Ho-oh,250,ho-oh.png,250.png,106,130,90,110,154,90,680,Fire,Flying,Rainbow Pokemon,null,199,Pressure,null,Regenerator,3 SpD,No-Eggs,null,null
Celebi,251,celebi.png,251.png,100,100,100,100,100,100,600,Psychic,Grass,Time Travel Pokemon,null,5,Natural Cure,null,null,3 HP,No-Eggs,null,null
Treecko,252,treecko.png,252.png,40,45,35,65,55,70,310,Grass,null,Wood Gecko Pokemon,null,5,Overgrow,null,Unburden,1 Spe,Monster,Dragon,null
Grovyle,253,grovyle.png,253.png,50,65,45,85,65,95,405,Grass,null,Wood Gecko Pokemon,null,21.6,Overgrow,null,Unburden,2 Spe,Monster,Dragon,null
Sceptile,254,sceptile.png,254.png,70,85,65,105,85,120,530,Grass,null,Forest Pokemon,null,52.2,Overgrow,null,Unburden,3 Spe,Monster,Dragon,null
Torchic,255,torchic.png,255.png,45,60,40,70,50,45,310,Fire,null,Chick Pokemon,null,2.5,Blaze,null,Speed Boost,1 SpA,Ground,null,null
Combusken,256,combusken.png,256.png,60,85,60,85,60,55,405,Fire,Fighting,Young Fowl Pokemon,null,19.5,Blaze,null,Speed Boost,1 Atk/1 SpA,Ground,null,null
Blaziken,257,blaziken.png,257.png,80,120,70,110,70,80,530,Fire,Fighting,Blaze Pokemon,null,52,Blaze,null,Speed Boost,3 Atk,Ground,null,null
Mudkip,258,mudkip.png,258.png,50,70,50,50,50,40,310,Water,null,Mud Fish Pokemon,null,7.6,Torrent,null,Damp,1 Atk,Monster,Water1,null
Marshtomp,259,marshtomp.png,259.png,70,85,70,60,70,50,405,Water,Ground,Mud Fish Pokemon,null,28,Torrent,null,Damp,2 Atk,Monster,Water1,null
Swampert,260,swampert.png,260.png,100,110,90,85,90,60,535,Water,Ground,Mud Fish Pokemon,null,81.9,Torrent,null,Damp,3 Atk,Monster,Water1,null
Poochyena,261,poochyena.png,261.png,35,55,35,30,30,35,220,Dark,null,Bite Pokemon,null,13.6,Run Away,Quick Feet,Rattled,1 Atk,Ground,null,null
Mightyena,262,mightyena.png,262.png,70,90,70,60,60,70,420,Dark,null,Bite Pokemon,null,37,Intimidate,Quick Feet,Moxie,2 Atk,Ground,null,null
Zigzagoon,263,zigzagoon.png,263.png,38,30,41,30,41,60,240,Normal,null,Tiny Raccoon Pokemon,null,17.5,Pickup,Gluttony,Quick Feet,1 Spe,Ground,null,null
Zigzagoon-galar,263,zigzagoon-galar.png,263-galar.png,38,30,41,30,41,60,240,Dark,Normal,Tiny Raccoon Pokemon,null,null,Pickup,Gluttony,Quick Feet,null,Ground,null,null
Linoone,264,linoone.png,264.png,78,70,61,50,61,100,420,Normal,null,Rushing Pokemon,null,32.5,Pickup,Gluttony,Quick Feet,2 Spe,Ground,null,null
Linoone-galar,264,linoone-galar.png,264-galar.png,78,70,61,50,61,100,420,Dark,Normal,Rushing Pokemon,null,null,Pickup,Gluttony,Quick Feet,null,Ground,null,null
Wurmple,265,wurmple.png,265.png,45,45,35,20,30,20,195,Bug,null,Worm Pokemon,null,3.6,Shield Dust,null,Run Away,1 HP,Bug,null,null
Silcoon,266,silcoon.png,266.png,50,35,55,25,25,15,205,Bug,null,Cocoon Pokemon,null,10,Shed Skin,null,null,2 Def,Bug,null,null
Beautifly,267,beautifly.png,267.png,60,70,50,100,50,65,395,Bug,Flying,Butterfly Pokemon,null,28.4,Swarm,null,Rivalry,3 SpA,Bug,null,null
